year,party,mean_score,std_score,hate_speech_ratio,count
1960,democrat,0.6090737012299624,0.03883811852191587,0.9090909090909091,66
1960,moderator,0.5776101926625785,0.04920742140707496,0.8305084745762712,118
1960,republican,0.6097770990996525,0.03293549972544847,0.9655172413793104,58
1976,moderator,0.5999925204920112,0.050541173200810786,0.9151376146788991,436
1976,republican,0.6308748749046843,0.034255862276574345,0.9864253393665159,221
1980,democrat,0.6059585302663605,0.05414125861162457,0.9321266968325792,221
1980,moderator,0.5782697507076793,0.04902575251892596,0.5694444444444444,72
1980,republican,0.6129090926226448,0.03315626763889578,0.9411764705882353,17
1984,democrat,0.6184548377356631,0.03949293146474056,0.973404255319149,188
1984,moderator,0.5967310114101794,0.049230015363792456,0.8773584905660378,318
1988,democrat,0.6078156078683918,0.03956951823805442,0.9137931034482759,116
1988,moderator,0.5676878069984842,0.051544545654381,0.7041420118343196,169
1988,republican,0.5985858505964279,0.04743269319889466,0.86,100
1992,democrat,0.6152513907069251,0.043145839688079037,0.9380952380952381,210
1992,moderator,0.5508084699772952,0.03959008815770075,0.7046783625730995,342
1992,republican,0.60295220580234,0.044872455158118454,0.8645418326693227,251
1996,moderator,0.5860632623184178,0.050336882913547154,0.7972508591065293,291
1996,republican,0.6069772870644279,0.04331434279099679,0.936231884057971,345
2000,democrat,0.6150456226390341,0.047265853538675594,0.8478260869565217,46
2000,moderator,0.5737215064722916,0.046126660401904086,0.8275862068965517,58
2000,republican,0.6154565402755031,0.03818017720445692,0.9259259259259259,54
2004,democrat,0.612651894323802,0.040022549858025884,0.9665551839464883,299
2004,moderator,0.5580573355897944,0.03988188077099891,0.6212765957446809,235
2004,republican,0.6115153922643571,0.04584984945134345,0.917981072555205,317
2008,democrat,0.6027442027314179,0.042889378411797706,0.9319727891156463,588
2008,moderator,0.5611353429611043,0.040145875384248485,0.7188612099644128,281
2008,republican,0.6040081793801826,0.0414006126422466,0.9298245614035088,570
2012,democrat,0.6009188421436997,0.0504979065211022,0.8401639344262295,488
2012,moderator,0.5596914257683097,0.041174093571681974,0.6713780918727915,283
2012,republican,0.6013968254678682,0.04777861527279103,0.8768267223382046,479
2016,democrat,0.6076826353867849,0.044055681499054374,0.9444444444444444,288
2016,moderator,0.557239900438153,0.04036169805983697,0.6598639455782312,294
2016,republican,0.5873806655406952,0.044979490520541586,0.8432432432432433,370
2020,democrat,0.570240970823791,0.046395108261475713,0.6291208791208791,364
2020,moderator,0.5547836957254795,0.039855548064128186,0.6919191919191919,396
2020,republican,0.5678692677381959,0.04655728434878225,0.7164179104477612,469
2024,democrat,0.6097369072257831,0.04233516735329913,0.9247311827956989,186
2024,moderator,0.5742004808201733,0.04337620495056552,0.852589641434263,251
2024,republican,0.6085658459229902,0.04527190821611321,0.9309090909090909,275
